sub_country_l1_from_source,sub_country_l2_from_source,population_2019,political_affiliation,minimum_wage
CA,Sonoma,494336,0,14
OR,Curry,22925,0,12
OR,Coos County,64487,0,12
OR,Lane,382067,0,12.75
OR,Lincoln,49962,0,12
OR,Tillamook,27036,0,12
WA,Clallam,77331,0,13.5
WA,Jefferson,32221,0,13.5
CA,Humboldt,135558,0,13
AK,Kodiak Island Borough,12998,1,10.34
WA,Pacific County,22471,0,13.5
OR,Douglas,110980,0,12
HI,Honolulu,974563,0,10.1
WA,Grays Harbor,75061,0,13.5
CA,Santa Barbara,446499,0,14
VA,Hampton,134510,0,11
VA,Northampton,11710,0,14.25
VA,Virginia Beach,449974,0,7.25
VA,Accomack,32316,0,7.25
CA,Santa Cruz,273213,0,12
OR,Clatsop,40224,0,12.75
AK,Kenai Peninsula,58708,1,10.19
CA,San Francisco,881549,0,16.32
CA,Marin,258826,0,12
AK,Kodiak,12998,1,10.19
TX,Nueces,362294,1,7.25
TX,Kleberg,30680,1,7.25
TX,Aransas,23510,1,11
CA,San Diego,3338330,0,14
NJ,Pennsauken Township,506471,0,12
HI,Hawaii,201513,0,10.1
HI,Maui,167417,0,10.1
AK,City and Borough of Juneau,31974,1,10.19
FL,Volusia,553284,1,8.56
FL,Santa Rosa,184313,1,15.2
AL,Mobile,413210,1,7.25
MS,Jackson,143617,1,7.25
LA,St. Bernard,47244,1,7.25
WA,Skagit,129205,0,11
MA,Norfolk County,706775,0,7.25
FL,Palm Beach County,1496770,1,8.65
LA,Jefferson,432493,1,7.25
CA,Monterey,434061,0,14
ME,York,207641,0,12
CA,Alameda,1671329,0,15
NJ,Monmouth County,618795,0,13
FL,Manatee,403253,1,7.25
FL,Pinellas,974996,1,10
FL,Hillsborough,1471968,1,8.65
NC,New Hanover,234473,1,7.25
